ETF,date,price,index
VT,08/11/2021,108.414162,136.3359191
VT,09/11/2021,108.116394,135.9614618
VT,10/11/2021,107.074234,134.6508965
VT,11/11/2021,107.411697,135.0752721
VT,12/11/2021,108.12632,135.9739442
VT,13/11/2021,,0
VT,14/11/2021,,0
VT,15/11/2021,108.066765,135.899051
VT,16/11/2021,108.255348,136.136203
VT,17/11/2021,107.858337,135.636943
VT,18/11/2021,107.898041,135.6868726
VT,19/11/2021,107.411697,135.0752721
VT,20/11/2021,,0
VT,21/11/2021,,0
VT,22/11/2021,106.796326,134.3014141
VT,23/11/2021,106.776482,134.2764593
VT,24/11/2021,106.836029,134.3513425
VT,25/11/2021,,0
VT,26/11/2021,104.146271,130.968845
VT,27/11/2021,,0
VT,28/11/2021,,0
VT,29/11/2021,105.069328,132.1296327
VT,30/11/2021,103.491196,130.1450573
VT,01/12/2021,102.399414,128.77209
VT,02/12/2021,103.977547,130.7566666
VT,03/12/2021,103.014786,129.5459493
VT,04/12/2021,,0
VT,05/12/2021,,0
VT,06/12/2021,104.146271,130.968845
VT,07/12/2021,106.300064,133.6773412
VT,08/12/2021,106.697075,134.1766013
VT,09/12/2021,105.744247,132.9783751
VT,10/12/2021,106.280212,133.6523764
VT,11/12/2021,,0
VT,12/12/2021,,0
VT,13/12/2021,105.208282,132.3043739
VT,14/12/2021,104.553207,131.4805862
VT,15/12/2021,105.873276,133.1406352
VT,16/12/2021,105.277756,132.3917407
VT,17/12/2021,104.315002,131.1810322
VT,18/12/2021,,0
VT,19/12/2021,,0
VT,20/12/2021,103.360001,129.9800734
VT,21/12/2021,105.110001,132.1807809
VT,22/12/2021,106.080002,133.4006029
VT,23/12/2021,106.760002,134.2557349
VT,24/12/2021,,0
VT,25/12/2021,,0
VT,26/12/2021,,0
VT,27/12/2021,107.889999,135.6767594
VT,28/12/2021,107.769997,135.5258513
VT,29/12/2021,107.809998,135.5761544
VT,30/12/2021,107.720001,135.4629789
VT,31/12/2021,,0
VXUS,22/01/2020,53.20974,100
VXUS,23/01/2020,53.001522,99.60868443
VXUS,24/01/2020,52.698654,99.03948788
VXUS,25/01/2020,,0
VXUS,26/01/2020,,0
VXUS,27/01/2020,51.54398,96.86944533
VXUS,28/01/2020,51.932026,97.59872159
VXUS,29/01/2020,51.960423,97.65208964
VXUS,30/01/2020,51.77113,97.29634086
VXUS,31/01/2020,50.919319,95.69548545
VXUS,01/02/2020,,0
VXUS,02/02/2020,,0
VXUS,03/02/2020,51.013966,95.87336078
VXUS,04/02/2020,51.913094,97.56314164
VXUS,05/02/2020,52.386322,98.45250512
VXUS,06/02/2020,52.509365,98.68374662
VXUS,07/02/2020,51.988808,97.70543513
VXUS,08/02/2020,,0
VXUS,09/02/2020,,0
VXUS,10/02/2020,52.09293,97.90111735
VXUS,11/02/2020,52.471508,98.61259987
VXUS,12/02/2020,52.850086,99.3240824
VXUS,13/02/2020,52.443115,98.55923934
VXUS,14/02/2020,52.414719,98.50587317
VXUS,15/02/2020,,0
VXUS,16/02/2020,,0
VXUS,17/02/2020,,0
VXUS,18/02/2020,52.09293,97.90111735
VXUS,19/02/2020,52.339001,98.36357216
VXUS,20/02/2020,51.913094,97.56314164
VXUS,21/02/2020,51.638626,97.04731878
VXUS,22/02/2020,,0
VXUS,23/02/2020,,0
VXUS,24/02/2020,49.726784,93.45428863
VXUS,25/02/2020,49.045334,92.17360205
VXUS,26/02/2020,49.13998,92.3514755
VXUS,27/02/2020,47.739223,89.71895559
VXUS,28/02/2020,47.559402,89.38100806
VXUS,29/02/2020,,0
VXUS,01/03/2020,,0
VXUS,02/03/2020,48.079948,90.35929888
